feature,weight,abs_weight
q_ma24,8.371031195855362,8.371031195855362
RHslow_ma24,-6.552172697101425,6.552172697101425
T2M_lag23,-5.3854714822203995,5.3854714822203995
T2M_ma720,5.286098555362432,5.286098555362432
T2M_lag0,-5.135190211465281,5.135190211465281
T2M_ma2160,-5.078655490560948,5.078655490560948
RH2M_lag0,4.631889407278137,4.631889407278137
T2M_lag46,-4.296542208712544,4.296542208712544
T2M_lag47,3.7015144370193207,3.7015144370193207
PSC_lag5,-3.6784066063316803,3.6784066063316803
PSC_lag29,-3.5245431454443406,3.5245431454443406
PSC_lag9,3.2434437613373976,3.2434437613373976
q_ma720,-3.1925074351724954,3.1925074351724954
T2M_ma24,3.0612907690337696,3.0612907690337696
PSC_lag33,2.8886227004488014,2.8886227004488014
T2M_lag24,2.8263502368177362,2.8263502368177362
T2M_lag9,2.6707530605226095,2.6707530605226095
PSC_lag42,2.6501434308913416,2.6501434308913416
PSC_lag18,2.5699729886364335,2.5699729886364335
PSC_lag32,-2.5637403238505008,2.5637403238505008
PSC_lag40,-2.5492204496005644,2.5492204496005644
T2M_lag1,2.5087603453468583,2.5087603453468583
PSC_lag8,-2.3860087651744952,2.3860087651744952
PSC_lag13,-2.3239030105728022,2.3239030105728022
PSC_lag7,2.303283824720813,2.303283824720813
q_ma72,-2.2090187598186657,2.2090187598186657
PSC_lag12,2.2088332386881038,2.2088332386881038
PSC_lag47,2.1629104138363027,2.1629104138363027
q_ma2160,-2.144173823607843,2.144173823607843
PSC_lag37,-2.131216049113907,2.131216049113907
PSC_lag15,2.120501890457778,2.120501890457778
PSC_lag16,-1.962795685605734,1.962795685605734
PSC_lag39,1.9572008897066147,1.9572008897066147
PSC_lag36,1.786586962893436,1.786586962893436
T2M_lag26,1.7654600022220033,1.7654600022220033
T2M_lag45,1.7617741692650093,1.7617741692650093
PSC_lag31,1.7456501368736652,1.7456501368736652
PSC_lag3,1.745242815093315,1.745242815093315
PSC_lag27,1.7151031139821074,1.7151031139821074
T2M_lag33,1.6832455159961954,1.6832455159961954
