spinup_years,drive_start,n_drive,n_stat,T_in_mean,T_in_min,T_in_max,RH_in_mean,RH_in_min,RH_in_max,d_RH_in_max_vs_lit,first_hour_RH_in,first_24h_mean_RH_in
0,2019-01-01,26304,26304,11.63,-8.94,25.58,33.56,8.59,94.67,14.67,50.86,45.31
2,2017-01-01,43824,26304,12.45,-1.35,25.58,32.24,8.59,82.5,2.5,27.49,28.51
