lambda_discrete,abs_lambda,tau_hours,period_hours,period_days
(0.999979-0.000715j),0.999979,47767.15,8791.84,366.33
(0.999979+0.000715j),0.999979,47767.15,8791.84,366.33
(0.999881-7.9e-05j),0.999881,8416.87,79572.61,3315.53
(0.999881+7.9e-05j),0.999881,8416.87,79572.61,3315.53
(0.999805-0.001001j),0.999805,5135.32,6273.71,261.4
(0.999805+0.001001j),0.999805,5135.32,6273.71,261.4
(0.965493-0.258658j),0.99954,2175.33,24.0,1.0
(0.965493+0.258658j),0.99954,2175.33,24.0,1.0
