feature,weight,abs_weight
T2M_ma24,9.420630031718499,9.420630031718499
q_ma24,8.282380076400564,8.282380076400564
RHslow_ma24,-6.600730783684088,6.600730783684088
T2M_lag23,-6.01247895988041,6.01247895988041
T2M_lag0,-5.448747769374111,5.448747769374111
T2M_ma720,5.282235813606889,5.282235813606889
T2M_ma2160,-5.03467290387232,5.03467290387232
T2M_lag46,-4.672575956804634,4.672575956804634
RH2M_lag0,4.645097671689306,4.645097671689306
PSC_lag5,-4.233860317053612,4.233860317053612
PSC_lag29,-4.151813400664215,4.151813400664215
PSC_lag9,4.11391789234804,4.11391789234804
T2M_lag47,3.882926918771279,3.882926918771279
PSC_lag33,3.796636056394006,3.796636056394006
PSC_lag32,-3.3870605097033053,3.3870605097033053
q_ma720,-3.232632205204557,3.232632205204557
PSC_lag8,-3.173497435960908,3.173497435960908
T2M_lag24,3.0191709392589434,3.0191709392589434
PSC_lag42,2.9980719401189795,2.9980719401189795
PSC_lag18,2.9426017469567327,2.9426017469567327
PSC_lag40,-2.843632353057244,2.843632353057244
T2M_lag9,2.640126263907185,2.640126263907185
PSC_lag12,2.623440850349971,2.623440850349971
PSC_lag13,-2.62056136402446,2.62056136402446
PSC_lag7,2.6170128059821995,2.6170128059821995
PSC_lag15,2.4500497455922057,2.4500497455922057
T2M_lag1,2.3849463682870553,2.3849463682870553
PSC_lag37,-2.347631399638043,2.347631399638043
PSC_lag47,2.2901824776514603,2.2901824776514603
PSC_lag39,2.2691397513685185,2.2691397513685185
PSC_lag16,-2.152419270719963,2.152419270719963
T2M_lag45,2.145217380886457,2.145217380886457
PSC_lag36,2.120088699075209,2.120088699075209
q_ma2160,-2.1105463779145697,2.1105463779145697
q_ma72,-2.1000971940925566,2.1000971940925566
PSC_lag31,2.0573116850126216,2.0573116850126216
PSC_lag34,-2.045590858945966,2.045590858945966
T2M_lag33,1.9327456287376241,1.9327456287376241
T2M_lag26,1.8687098708182086,1.8687098708182086
PSC_lag17,-1.8246298838249881,1.8246298838249881
