项目,模型,文献实测,差值,单位,说明
窟外年均气温,10.32,11.7,-1.38,degC,POWER 再分析 vs 现场站 → 差异属数据源，不属模型
窟外年均 RH,28.68,29.1,-0.42,%,同上
窟内年均气温,12.45,12.0,0.45,degC,温度统计量未参与标定
窟内气温最低,-1.35,-6.7,5.35,degC,同上
窟内气温最高,25.58,25.8,-0.22,degC,同上
窟内 RH 年均,32.24,30.8,1.44,%,RH 年均是标定目标之一
窟内 RH 最低,8.59,8.7,-0.11,%,
窟内 RH 最高,82.5,80.0,2.5,%,
窟内外温差,2.12,0.3,1.82,K,本行受驱动数据差异污染，须与上一行绝对值联合阅读
