horizon_h,threshold,model,base_rate,n_event,alarm_rate,precision,recall,F1,AUC,cut
48,62%(业务预警),Persistence-operator(可部署),0.0128,560,1.0,0.0128,1.0,0.0252,0.4997,30.719
48,62%(业务预警),[oracle]Persistence(需窟内实测),0.0128,560,0.013,0.0634,0.0643,0.0638,0.7485,61.941
48,62%(业务预警),Climatology(可部署),0.0128,560,0.007,0.0,0.0,0.0,0.729,48.588
48,67%(潮解起始),Operator-direct(本作品),0.0042,186,0.0132,0.0,0.0,0.0,0.7837,48.641
48,67%(潮解起始),Ablation-无慢变项,0.0042,186,0.018,0.0152,0.0645,0.0246,0.7128,45.999
48,67%(潮解起始),Ablation-无Magnus项,0.0042,186,0.0098,0.0,0.0,0.0,0.7805,48.799
48,67%(潮解起始),Ablation-仅快变延迟,0.0042,186,0.0114,0.012,0.0323,0.0175,0.7096,47.092
48,67%(潮解起始),Ablation-短延迟(12h),0.0042,186,0.016,0.0043,0.0161,0.0068,0.7917,48.439
48,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),0.0042,186,0.0042,0.0,0.0,0.0,0.6895,67.295
48,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),0.0042,186,0.0019,0.0118,0.0054,0.0074,0.9018,50.813
48,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),0.0042,186,0.0,0.0,0.0,0.0,0.4997,25.608
48,67%(潮解起始),RidgeDirect(无延迟嵌入),0.0042,186,0.0063,0.0,0.0,0.0,0.5882,56.651
48,67%(潮解起始),Persistence-operator(可部署),0.0042,186,1.0,0.0042,1.0,0.0085,0.4997,30.719
48,67%(潮解起始),[oracle]Persistence(需窟内实测),0.0042,186,0.0047,0.0,0.0,0.0,0.7118,66.717
48,67%(潮解起始),Climatology(可部署),0.0042,186,0.0038,0.0,0.0,0.0,0.7076,49.737
48,75%(吸湿突变),Operator-direct(本作品),0.0011,47,0.0051,0.0,0.0,0.0,0.7429,50.301
48,75%(吸湿突变),Ablation-无慢变项,0.0011,47,0.0101,0.0,0.0,0.0,0.6575,47.381
48,75%(吸湿突变),Ablation-无Magnus项,0.0011,47,0.0045,0.0,0.0,0.0,0.7412,50.551
48,75%(吸湿突变),Ablation-仅快变延迟,0.0011,47,0.0053,0.0,0.0,0.0,0.6569,48.66
48,75%(吸湿突变),Ablation-短延迟(12h),0.0011,47,0.0044,0.0,0.0,0.0,0.7531,50.643
48,75%(吸湿突变),FirstOrderTransfer-直接传递(初稿形式),0.0011,47,0.001,0.0,0.0,0.0,0.6078,75.131
48,75%(吸湿突变),FirstOrderTransfer-仅外场滞后(初稿原文),0.0011,47,0.0002,0.0,0.0,0.0,0.9346,53.632
48,75%(吸湿突变),FirstOrderTransfer-递归推演(不稳定极点),0.0011,47,0.0,0.0,0.0,0.0,0.4997,28.448
48,75%(吸湿突变),RidgeDirect(无延迟嵌入),0.0011,47,0.0011,0.0,0.0,0.0,0.5178,60.751
48,75%(吸湿突变),Persistence-operator(可部署),0.0011,47,1.0,0.0011,1.0,0.0021,0.4997,30.719
48,75%(吸湿突变),[oracle]Persistence(需窟内实测),0.0011,47,0.0011,0.0,0.0,0.0,0.6385,74.799
